"coding_CID" "coding_FDR" "as_CID" "as_FDR"
"302" "CID006539587" 0.971854304635762 "CID000447966" 0.962251655629139
"303" "CID010267580" 0.971947194719472 "CID044532445" 0.962376237623762
"304" "CID044525928" 0.972039473684211 "CID006539602" 0.9625
"305" "CID044525946" 0.972131147540984 "CID001489204" 0.962622950819672
"306" "CID057401867" 0.972222222222222 "CID053467178" 0.962745098039216
"307" "CID044525973" 0.972312703583062 "CID044529385" 0.962866449511401
"308" "CID044527001" 0.972402597402597 "CID006539605" 0.962987012987013
"309" "CID006539496" 0.972491909385113 "CID044305812" 0.963106796116505
"310" "CID011373846" 0.97258064516129 "CID044525960" 0.963225806451613
"311" "CID044529112" 0.972668810289389 "CID044525485" 0.963344051446945
"312" "CID046214650" 0.97275641025641 "CID011231979" 0.963461538461538
"313" "CID006539504" 0.972843450479233 "CID044525970" 0.963578274760383
"314" "CID044525944" 0.972929936305732 "CID044525937" 0.963694267515924
"315" "CID049798353" 0.973015873015873 "CID044529831" 0.963809523809524
"316" "CID011712734" 0.973101265822785 "CID024803300" 0.963924050632911
"317" "CID002409198" 0.973186119873817 "CID009836051" 0.96403785488959
"318" "CID000156422" 0.973270440251572 "CID006539610" 0.964150943396226
"319" "CID057398391" 0.973354231974922 "CID044529101" 0.964263322884013
"320" "CID044336137" 0.9734375 "CID011524582" 0.964375
"321" "CID006539428" 0.973520249221184 "CID010595057" 0.964485981308411
"322" "CID044526072" 0.97360248447205 "CID009814925" 0.964596273291925
"323" "CID005329481" 0.973684210526316 "CID044532297" 0.964705882352941
"324" "CID044532978" 0.973765432098765 "CID044528946" 0.964814814814815
"325" "CID000253268" 0.973846153846154 "CID006539587" 0.964923076923077
"326" "CID044525971" 0.973926380368098 "CID010267580" 0.965030674846626
"327" "CID006539615" 0.974006116207951 "CID044525928" 0.965137614678899
"328" "CID053469824" 0.974085365853659 "CID057401867" 0.965243902439024
"329" "CID044305879" 0.974164133738602 "CID044525973" 0.965349544072948
"330" "CID006539481" 0.974242424242424 "CID044527001" 0.965454545454545
"331" "CID044525938" 0.974320241691843 "CID006539496" 0.965558912386707
"332" "CID010186009" 0.974397590361446 "CID011373846" 0.96566265060241
"333" "CID051356289" 0.974474474474474 "CID044529112" 0.965765765765766
"334" "CID011793277" 0.974550898203593 "CID044525944" 0.965868263473054
"335" "CID006539579" 0.974626865671642 "CID049798353" 0.965970149253731
"336" "CID044526074" 0.974702380952381 "CID011712734" 0.966071428571429
"337" "CID044305647" 0.974777448071217 "CID002409198" 0.966172106824926
"338" "CID044525947" 0.974852071005917 "CID000156422" 0.966272189349112
"339" "CID006539569" 0.974926253687316 "CID057398391" 0.966371681415929
"340" "CID044535870" 0.975 "CID044336137" 0.966470588235294
"341" "CID044397192" 0.975073313782991 "CID006539428" 0.966568914956012
"342" "CID044526685" 0.975146198830409 "CID044526072" 0.966666666666667
"343" "CID021078798" 0.975218658892128 "CID005329481" 0.966763848396501
"344" "CID006539524" 0.975290697674419 "CID044525971" 0.966860465116279
"345" "CID044305594" 0.97536231884058 "CID006539615" 0.96695652173913
"346" "CID006539529" 0.975433526011561 "CID044305879" 0.967052023121387
"347" "CID057345685" 0.975504322766571 "CID006539481" 0.967146974063401
"348" "CID070685442" 0.975574712643678 "CID010186009" 0.967241379310345
"349" "CID000667570" 0.975644699140401 "CID011793277" 0.967335243553009
"350" "CID006539609" 0.975714285714286 "CID006539579" 0.967428571428571
"351" "CID009888013" 0.975783475783476 "CID044526074" 0.967521367521368
"352" "CID010158539" 0.975852272727273 "CID044305647" 0.967613636363636
"353" "CID044525943" 0.975920679886686 "CID044525947" 0.967705382436261
"354" "CID010621826" 0.975988700564972 "CID006539569" 0.967796610169491
"355" "CID015521230" 0.976056338028169 "CID044535870" 0.967887323943662
"356" "CID044532480" 0.976123595505618 "CID044526685" 0.967977528089888
"357" "CID011197671" 0.976190476190476 "CID006539524" 0.968067226890756
"358" "CID000838889" 0.976256983240223 "CID044305594" 0.968156424581006
"359" "CID045480848" 0.976323119777159 "CID006539529" 0.968245125348189
"360" "CID024804299" 0.976388888888889 "CID057345685" 0.968333333333333
"361" "CID057396625" 0.976454293628809 "CID070685442" 0.968421052631579
"362" "CID044532433" 0.976519337016575 "CID000667570" 0.968508287292818
"363" "CID015838857" 0.976584022038568 "CID010158539" 0.968595041322314
"364" "CID044526077" 0.976648351648352 "CID044525943" 0.968681318681319
"365" "CID011495551" 0.976712328767123 "CID010621826" 0.968767123287671
"366" "CID011558948" 0.976775956284153 "CID015521230" 0.968852459016393
"367" "CID023648887" 0.976839237057221 "CID044532480" 0.968937329700272
"368" "CID006539588" 0.976902173913043 "CID011197671" 0.969021739130435
"369" "CID006539470" 0.976964769647697 "CID045480848" 0.969105691056911
"370" "CID044532712" 0.977027027027027 "CID010183216" 0.969189189189189
"371" "CID046886665" 0.977088948787062 "CID024804299" 0.969272237196765
"372" "CID023648920" 0.977150537634409 "CID057396625" 0.969354838709677
"373" "CID042618144" 0.977211796246649 "CID044532433" 0.969436997319035
"374" "CID006539463" 0.977272727272727 "CID015838857" 0.96951871657754
"375" "CID024803787" 0.977333333333333 "CID044526077" 0.9696
"376" "CID006539528" 0.977393617021277 "CID011558948" 0.96968085106383
"377" "CID024803786" 0.977453580901857 "CID023648887" 0.969761273209549
"378" "CID010135552" 0.977513227513228 "CID010151417" 0.96984126984127
"379" "CID045271244" 0.977572559366755 "CID006539470" 0.969920844327177
"380" "CID056683489" 0.977631578947368 "CID044532712" 0.97
"381" "CID044532531" 0.977690288713911 "CID023648920" 0.97007874015748
"382" "CID000129723" 0.977748691099476 "CID042618144" 0.970157068062827
"383" "CID051357954" 0.977806788511749 "CID024803787" 0.97023498694517
"384" "CID066561013" 0.977864583333333 "CID006539528" 0.9703125
"385" "CID044525969" 0.977922077922078 "CID010135552" 0.97038961038961
"386" "CID044336144" 0.977979274611399 "CID045271244" 0.970466321243523
"387" "CID053467617" 0.978036175710594 "CID045271243" 0.970542635658915
"388" "CID011716589" 0.978092783505155 "CID056683489" 0.970618556701031
"389" "CID053469634" 0.978149100257069 "CID044532531" 0.970694087403599
"390" "CID011220119" 0.978205128205128 "CID000129723" 0.970769230769231
"391" "CID001491157" 0.978260869565217 "CID044525969" 0.970843989769821
"392" "CID024802788" 0.978316326530612 "CID044336144" 0.970918367346939
"393" "CID000003134" 0.978371501272265 "CID053467617" 0.970992366412214
"394" "CID051357696" 0.978426395939086 "CID022609863" 0.971065989847716
"395" "CID057400063" 0.978481012658228 "CID011716589" 0.971139240506329
"396" "CID057391365" 0.978535353535354 "CID011220119" 0.971212121212121
"397" "CID000221158" 0.978589420654912 "CID001491157" 0.971284634760705
"398" "CID000309461" 0.978643216080402 "CID057400063" 0.971356783919598
"399" "CID011959683" 0.978696741854637 "CID000221158" 0.971428571428571
